"","Basal III cells","Fibroblasts","Macrophages"
"HMDB0000283",1.18909771300818e-09,-0.999995386980554,-0.999999984200917
"HMDB0000285",0.000205985093258864,0.000739293575811034,2.08661997512807e-05
"HMDB0000288",-0.999838488739349,-0.99953931396075,1.39816233126762e-08
"HMDB0000289",0.00127283103820781,-0.997808732920056,0.00142807679607351
"HMDB0000291",5.2812767044681e-08,-0.999998861098053,-0.999999995650804
"HMDB0000292",-0.999927455363488,0.000102619114619585,-0.999995764431183
"HMDB0000293",-0.999998465578504,-0.999996921957084,2.33483405461549e-08
"HMDB0000294",-0.998827567561631,0.00219815580803957,-0.998574962302883
"HMDB0000295",-0.999905593317438,3.27235884804556e-05,5.4032001330512e-08
"HMDB0000296",0.00034734562816613,-0.998772640688962,-0.999999984062485
"HMDB0000299",-0.999992425215114,2.28624053037143e-05,-0.999999826070644
"HMDB0000300",7.25641097228904e-08,4.88598253043006e-08,4.18781766137444e-09
"HMDB0000301",9.71535577159867e-08,4.63051946063016e-08,-0.999999977936081
"HMDB0000302",-0.999961777785339,-0.999974436909093,-0.999999962018876
"HMDB0000303",-0.99999999427869,-0.999999996916515,1.25529076474988e-10
"HMDB0000305",-0.999999993536267,-0.999999339031578,-0.999999991313949
"HMDB0000306",-0.999999992603956,-0.999999997353575,3.12746386191845e-09
"HMDB0000321",-0.9855364447544,-0.998034405059473,0.147009373855669
"HMDB0000343",1.06259778347089e-06,2.91129800591473e-07,2.03673461732184e-08
"HMDB0000347",-0.999995423457663,-0.999997627323402,4.88144339819307e-06
"HMDB0000362",0.0172796289726132,-0.973370022429419,0.00134690028816503
"HMDB0000363",2.93704908890114e-08,2.0956999002661e-08,-0.999999998751719
"HMDB0000364",-1.99999996476407,-1.99999997804729,6.50976386189023e-09
"HMDB0000374",4.62202306595322e-08,3.66414701775837e-08,4.01086490196244e-09
"HMDB0000379",0.00030274048885827,0.000599647195241327,1.49211392626636e-06
"HMDB0000380",0.00030274048885827,0.000599647195241327,1.49211392626636e-06
"HMDB0000415",-1.99999996476407,-1.99999997804729,6.50976386189023e-09
"HMDB0000428",5.28878776486892e-06,3.38654187874584e-06,2.58007689773003e-07
"HMDB0000448",-0.999998145581872,-0.999971033344197,4.08911582892446e-09
"HMDB0000453",6.88924984789688e-06,1.68398523372213e-05,0.00045485787704399
"HMDB0000462",7.4278614724351e-07,4.19280588022824e-06,-0.999997858111242
"HMDB0000464",1.6206889236343e-09,2.84767194162561e-09,6.77254175882537e-10
"HMDB0000467",-0.999999977245371,-0.999999989937291,-0.999999996232326
"HMDB0000479",-0.9969179861729,0.000699732465239376,0.024886616469045
"HMDB0000482",6.02308711332376e-08,5.05924218095655e-09,-0.999999694215352
"HMDB0000490",-0.999999950428822,-0.999999970474263,-0.999999998137195
"HMDB0000492",-0.999999873445735,-0.999999927386574,1.50429681325456e-08
"HMDB0000499",4.0730935506772e-05,3.28501202790421e-05,3.38247665528712e-06
"HMDB0000500",2.32959668045751e-05,1.21321934347327e-05,3.76027095238661e-05
"HMDB0000506",1.11159663463022e-08,8.02539557908359e-09,1.07690590242796e-09
"HMDB0000508",-0.999999997031216,4.61665091829854e-06,3.81435162066224e-09
"HMDB0000510",6.03140245813562e-09,9.32967042808569e-09,-0.99999999962674
"HMDB0000511",-0.999999907930316,-0.999999925532278,-0.999999983594627
"HMDB0000513",-0.999999907930316,-0.999999925532278,-0.999999983594627
"HMDB0000517",-0.993736905583362,-0.995623399063692,-0.986661068735818
"HMDB0000518",-0.999999982179748,6.36275469879129e-10,-0.999999995882385
"HMDB0000521",4.0730935506772e-05,3.28501202790421e-05,3.38247665528712e-06
"HMDB0000525",6.88924984789688e-06,1.68398523372213e-05,0.00045485787704399
"HMDB0000532",0.0351615662793842,-0.975252630414375,0.0643477039331782
"HMDB0000535",2.90772137980659e-05,2.78880635088013e-05,-0.999756895920986
"HMDB0000538",-0.997880301382981,0.00812146117662427,-0.971998569456214
"HMDB0000554",3.15582596445642e-08,2.28703309235766e-08,-0.99999999975001
"HMDB0000557",-0.996938190661108,-0.997328661941448,-0.99090091736933
"HMDB0000561",-0.999999997991143,-0.999999997904178,1.6835264071442e-09
"HMDB0000562",5.32132719157062e-09,-0.999999998968734,-0.99999995276523
"HMDB0000568",0.0346243824558655,0.0152767880532705,-0.584620774101055
"HMDB0000570",-0.999996737533733,5.07044358465696e-06,-0.99999999787229
"HMDB0000573",3.31636041842564e-05,1.41333144903635e-05,3.38154476781435e-06
"HMDB0000574",0.0266764111771157,0.00806349571277584,-0.901915013907712
"HMDB0000577",9.08189703927259e-09,5.36543737310841e-09,2.33745479763607e-11
"HMDB0000586",-0.999999995219728,-0.999999997156677,-0.999999998223223
"HMDB0000588",-0.999999997026403,1.27777055305834e-09,-0.9999999946382
"HMDB0000595",0.00489812324806389,0.00361448499553916,-0.951018072323159
"HMDB0000608",-0.999996605814492,-0.99999794130855,-0.999999977122505
"HMDB0000619",7.35337404944173e-08,4.54700801048222e-08,-0.999999994749358
