"ReactionID","ReactionName","Name","Status"
"EX_am1ccs[e]","exchange reaction for AM1c-cyclosporine in hepatic vein","AM1c (cyclosporine)",0
"EX_am1cglc[e]","exchange reaction for AM1c-glucuronide in bile","AM1c-glucuronide (cyclosporine)",0
"EX_am1csa[e]","exchange reaction for AM1 (cyclosporine) in portal blood","AM1 (cyclosporine)",0
"EX_am4n9cs[e]","exchange reaction for AM4N9-cyclosporine in hepatic vein","AM4N9 (cyclosporine)",0
"EX_am4ncs[e]","exchange reaction for AM4N (cyclosporine) in portal blood","AM4N (cyclosporine)",0
"EX_am9csa[e]","exchange reaction for AM9 (cyclosporine) in portal blood","AM9 (cyclosporine)",0
"EX_atvacid[e]","exchange reaction for atorvastatin in intestinal lumen","atorvastatin-acid",0
"EX_atvlac[e]","exchange reaction for atorvastatin-lactone in portal blood","atorvastatin-lactone",0
"EX_caribup_R[e]","exchange reaction for R-carboxy ibuprofen in hepatic vein","R-carboxy ibuprofen",0
"EX_caribup_s[e]","exchange reaction for S-carboxy ibuprofen in hepatic vein","S-carboxy ibuprofen",0
"EX_caribupglu_S[e]","exchange reaction for S-carboxy ibuprofen glucuronide in hepatic vein","S-carboxy ibuprofen glucuronide",0
"EX_crglz[e]","exchange reaction for carboxy-gliclazide in hepatic vein","carboxy-gliclazide",0
"EX_crvs[e]","exchange reaction for cerivastatin in intestinal lumen","cerivastatin",0
"EX_crvsm1[e]","exchange reaction for cerivastatin-M1 in hepatic vein","cerivastatin-M1",0
"EX_crvsm23[e]","exchange reaction for cerivastatin-M23 in hepatic vein","cerivastatin-M23",0
"EX_crvsm24[e]","exchange reaction for cerivastatin-M24 in hepatic vein","cerivastatin-M24",0
"EX_csa[e]","exchange reaction for cyclosporine in intestinal lumen","cyclosporine",1
"EX_csasulp[e]","exchange reaction for cyclosporine-sulphate in hepatic vein","cyclosporine-sulphate",0
"EX_cysacmp[e]","exchange reaction for cysteine-conjugate-acetaminophen in hepatic vein","cysteine-conjugate-acetaminophen",0
"EX_deoxfvs[e]","exchange reaction for deoxy-fluvastatin-dinor in hepatic vein","deoxy-fluvastatin-dinor",0
"EX_desfvs[e]","exchange reaction for N-desisopropyl-fluvastatin in bile","N-desisopropyl-fluvastatin",0
"EX_dhglz[e]","exchange reaction for dehydro-gliclazide in hepatic vein","dehydro-gliclazide",0
"EX_dspvs[e]","exchange reaction of desacyl dehydro-pravastatin in hepatic vein","desacyl dehydro-pravastatin",0
