"","B cells","Dendritic cells","Erythrocytes","Monocytes","NK cells","T cells"
"HMDB0000303",1.76457417177452e-10,-0.999999999803727,-0.999999999982761,-0.999999999484357,-0.999999999841343,1.48987496267808e-10
"HMDB0000305",1.07572644949373e-09,1.80069347655711e-09,6.16351387623981e-10,9.54786619411102e-10,3.77333848687241e-10,8.10963577931266e-10
"HMDB0000306",1.47178194548673e-09,1.0354083153796e-09,1.15040738873413e-09,3.81593268009604e-10,4.64222568900834e-10,-0.999999999255227
"HMDB0000321",-0.983847171645156,-0.97372901810579,0.000978365731649285,0.046400837152422,-0.99027649629856,0.0319018784527443
"HMDB0000343",9.2444437776162e-07,5.37796930774745e-07,2.94214625459286e-07,4.87721382912285e-07,1.13109192042731e-05,1.1444436519379e-06
"HMDB0000347",-0.999999860486171,-0.999999818805812,-0.99999991710847,-0.999999814306206,-0.999999965423721,4.7867709469135e-07
"HMDB0000362",0.0186438223946177,0.0151848346856622,-0.998950170349945,0.0225172687319419,-0.925870238145364,-0.984379077754002
"HMDB0000363",2.6425009263414e-10,3.16222518979865e-10,1.90254914504503e-10,1.00544155519764e-10,1.48115461459788e-09,4.42080344973217e-10
"HMDB0000364",-3.99999999623939,-3.99999999588577,-3.99999999698941,-3.99999999765416,-1.99999999903393,-1.9999999982073
"HMDB0000374",3.24456159393631e-10,5.12694827923971e-10,2.04641555087138e-10,1.81628528406547e-10,1.04225924072312e-09,4.85752402984264e-10
"HMDB0000379",7.51478926791702e-06,0.000785248954675973,1.10943674977611e-05,0.000674341611196918,0.00202075452686579,0.005816052103111
"HMDB0000380",7.51478926791702e-06,0.000785248954675973,1.10943674977611e-05,0.000674341611196918,0.00202075452686579,0.005816052103111
"HMDB0000415",-3.99999999623939,-3.99999999588577,-3.99999999698941,-3.99999999765416,-1.99999999903393,-1.9999999982073
"HMDB0000428",9.49752716070328e-06,-0.999998488082007,-0.999999844401934,1.26410766247877e-06,-0.999999422445716,-0.999998546314084
"HMDB0000448",4.28240263218921e-06,5.94983843599665e-05,7.29281990479075e-06,1.44669448420363e-05,1.59154209419625e-05,3.72853839691469e-05
"HMDB0000453",2.26245778095115e-06,2.21272761427217e-07,4.85244254824447e-05,1.05292521431354e-05,7.85234616815037e-06,5.29528601199807e-06
"HMDB0000462",1.04441357822217e-06,3.21331289235364e-07,-0.999998569981833,-0.999999951543213,-0.999999616440858,4.46017763859064e-07
"HMDB0000464",4.34098529402283e-10,-0.999999999894066,-0.999999999680019,-0.999999999703486,3.46813370414909e-10,1.73456630354078e-11
"HMDB0000467",-0.99999999890105,-0.999999997973785,-0.999999997940989,-0.999999999405122,-0.999999999312211,-0.999999998903947
"HMDB0000479",-0.995944410295333,-0.999523278500972,0.0175533742222436,-0.996609771190004,-0.99419812286056,0.0115291089061985
"HMDB0000482",-0.999999835692623,-0.999999883421714,1.04972973120733e-07,-0.999999974964577,3.03243870609602e-06,-0.999998696988334
"HMDB0000490",-0.999999996594103,-0.9999999967834,-0.999999998423454,-0.999999997450968,-0.999999997968391,-0.999999997956719
"HMDB0000492",1.95074452147029e-09,-0.999999987991669,-0.99999998495837,1.09704661369473e-08,-0.999999996032767,-0.999999994547821
"HMDB0000499",5.72013260318206e-06,4.41756744441503e-06,1.49063660694168e-06,1.38392039262155e-06,2.62270804098447e-06,1.54849025830749e-06
"HMDB0000500",2.33129851696161e-06,1.32863715676606e-06,1.22376119008371e-06,2.704647266506e-06,9.22772291909885e-06,5.93110178021839e-07
"HMDB0000506",-0.999999999487041,-0.99999999947524,-0.99999999960018,-0.999999999642648,9.90537636456461e-12,1.90710658976807e-10
"HMDB0000508",0.000411039376575862,-0.99999712077126,0.000567398395152928,-0.998871549674121,3.46170313897334e-05,5.35997262633762e-10
"HMDB0000510",1.11972858828173e-08,-0.999999996898347,6.28839815537804e-10,7.2246292454017e-09,-0.999999997776507,-0.999999996895423
"HMDB0000511",2.45097633309684e-06,1.43050101058127e-06,1.21128370302801e-07,6.95619316920545e-07,2.2195991444067e-06,7.90560409084593e-09
"HMDB0000513",2.45097633309684e-06,1.43050101058127e-06,1.21128370302801e-07,6.95619316920545e-07,2.2195991444067e-06,7.90560409084593e-09
"HMDB0000517",-0.994169166740962,-0.992385952752087,-0.984459945816598,-0.9916168250513,-0.994295425799643,-0.993864221503587
"HMDB0000518",-0.999999996752868,-0.999999995309811,-0.9999999962385,-0.999999998741761,-0.999999999203162,-0.999999996876588
