"","Endothelial cells","Fibroblasts","Granulocytes","Macrophages","T cells"
"HMDB0000379",0.00155894641271611,-0.99999714707395,9.58404556729093e-07,6.03787979773981e-07,4.59874924227318e-05
"HMDB0000380",0.00155894641271611,-0.99999714707395,9.58404556729093e-07,6.03787979773981e-07,4.59874924227318e-05
"HMDB0000415",-3.99999998016085,-1.99999994199241,-3.99999999660294,-1.9999999966148,-3.99999998203454
"HMDB0000428",1.36914889804722e-06,-0.999987424137129,-0.9999999439057,7.1269074367638e-08,8.90265626260897e-06
"HMDB0000448",-0.999999063109811,-0.9999787547253,4.65084788547518e-09,1.12667004513025e-05,1.81248231654862e-06
"HMDB0000453",6.09065370727309e-05,1.27299513355215e-05,7.69855851330487e-05,1.30777988520792e-05,0.000265190038429702
"HMDB0000462",8.98110392181019e-07,6.22712039011658e-06,6.90881174870637e-07,4.81534335403415e-06,-0.999998915087439
"HMDB0000464",-0.999999999604622,-0.999999999426774,-0.999999999671416,-0.999999999831806,-0.999999999526003
"HMDB0000467",-0.999999994383617,-0.999999966465736,-0.999999998549984,-0.999999999129346,-0.999999997298151
"HMDB0000479",0.0172041072847374,-0.990235403704077,0.00783818990746106,-0.995142332419288,0.0445621120338268
"HMDB0000482",4.95686821540503e-07,-0.999999087018375,-0.999999519648316,3.75801975034783e-07,6.66547679523981e-07
"HMDB0000490",5.55456101583775e-09,-0.999999976847985,2.04258255754842e-09,-0.999999999054625,8.5085166946347e-11
"HMDB0000492",-0.999999987823945,-0.999999828890589,-0.999999996446654,-0.999999985827976,1.30386223953863e-08
"HMDB0000499",6.64496292842063e-06,2.31591464691262e-05,9.60343102766508e-06,1.82728616674127e-05,4.03496011353522e-06
"HMDB0000500",2.26746358066047e-05,3.68076468009542e-05,3.9150440240427e-05,9.45114010392349e-06,6.65243909144513e-06
"HMDB0000506",-0.999999996522619,2.6948431888059e-09,-0.999999999893924,3.64293564529117e-10,-0.999999997629267
"HMDB0000508",4.07556035284815e-09,-0.999954334204085,2.31264437215983e-09,9.8058160781304e-05,1.29946044434515e-09
"HMDB0000510",-0.999999999329071,-0.999999985522727,8.21204654104592e-09,7.83033493174069e-10,9.24570479408041e-09
"HMDB0000511",1.19395162359306e-08,-0.999999912469456,-0.999987631568638,-0.999999996342307,-0.999999995135269
"HMDB0000513",1.19395162359306e-08,-0.999999912469456,-0.999987631568638,-0.999999996342307,-0.999999995135269
"HMDB0000517",-0.988744989756444,-0.99765676721473,-0.995464584954179,-0.99018397783267,-0.998227384042423
"HMDB0000518",-0.999999993810629,-0.999999939277434,-0.999999996259903,6.7052341709e-11,-0.999999987092329
"HMDB0000521",6.64496292842063e-06,2.31591464691262e-05,9.60343102766508e-06,1.82728616674127e-05,4.03496011353522e-06
"HMDB0000525",6.09065370727309e-05,1.27299513355215e-05,7.69855851330487e-05,1.30777988520792e-05,0.000265190038429702
"HMDB0000532",0.00193022975058726,0.016766362403616,0.0331419962799212,0.0194624905596493,0.0170362304202731
"HMDB0000535",1.03449180700378e-05,4.24147857395858e-05,-0.999999599009802,2.44121564553211e-05,-0.999886572973247
"HMDB0000538",0.000172136835465274,-0.993872802430083,0.0359830749287306,0.0077420448089392,-0.980300162048995
"HMDB0000554",-0.999999999033548,6.23671954661275e-08,7.37569752786338e-10,2.97746000864401e-09,6.04954883725641e-09
"HMDB0000557",-0.992932648001187,0.00140891660444326,-0.996246546616166,-0.993068559060412,-0.997851986746004
"HMDB0000561",-0.999999997803788,2.18798130064836e-09,-0.999999999421058,-0.999999997822756,1.36453874423166e-09
