"","Macrophages","T cells"
"HMDB0000305",2.66114857579209e-07,-0.999999999479585
"HMDB0000306",4.84612896827585e-09,-0.999999978980242
"HMDB0000321",-0.999018421073685,0.0105921625771437
"HMDB0000343",1.38399214785714e-06,7.12745587432538e-08
"HMDB0000347",-0.999997194447818,1.45954415927842e-06
"HMDB0000362",0.00676591508735403,-0.921792636379671
"HMDB0000363",3.04074858399671e-08,-0.999999988681674
"HMDB0000364",-1.99999996529687,-0.999999990605375
"HMDB0000374",8.35043697853004e-08,1.21535717073875e-08
"HMDB0000379",0.00195427071122541,0.000350447766022355
"HMDB0000380",0.00195427071122541,0.000350447766022355
"HMDB0000415",-1.99999996529687,-0.999999990605375
"HMDB0000428",-0.999990486520379,3.5397867514228e-07
"HMDB0000448",3.63872983159467e-06,4.20404160947279e-08
"HMDB0000453",2.0157046574035e-05,0.000154081373714719
"HMDB0000462",-0.999999692442908,5.23093057503483e-06
"HMDB0000464",-0.999999998829511,6.81905926646477e-09
"HMDB0000467",-0.999999962462175,3.52554145125861e-09
"HMDB0000479",-0.997272854758255,0.0295708953169715
"HMDB0000482",4.97014956446722e-07,-0.999996484261172
"HMDB0000490",-0.999999917869619,-0.999999997642406
"HMDB0000492",-0.999999925493102,9.26750271181417e-08
"HMDB0000499",3.04846283854235e-05,-0.999989392501332
"HMDB0000500",2.83030874992315e-05,8.97359831809303e-07
"HMDB0000506",5.99663268285204e-09,2.6016188412831e-09
"HMDB0000508",-0.999949041667545,1.63730212684158e-08
"HMDB0000510",-0.999999969216783,6.44998662894704e-10
"HMDB0000511",-0.999995350724562,-0.999999946012471
"HMDB0000513",-0.999995350724562,-0.999999946012471
"HMDB0000517",-0.990362641527689,0.00174818786789299
"HMDB0000518",-0.999999972649524,-0.999999975039114
"HMDB0000521",3.04846283854235e-05,-0.999989392501332
"HMDB0000525",2.0157046574035e-05,0.000154081373714719
"HMDB0000532",0.0459266151570665,-0.994699741708771
"HMDB0000535",3.14513506392945e-05,7.2108934177929e-05
"HMDB0000538",0.00214218397903924,-0.975838290059697
"HMDB0000554",4.02793445364169e-08,1.74837658363866e-08
"HMDB0000557",-0.996016767891162,0.000179075495201035
"HMDB0000561",-0.999999999744633,-0.999999992203358
"HMDB0000562",1.49119775389528e-08,-0.999999991549209
"HMDB0000568",0.0364562881119415,-0.577019188425608
"HMDB0000570",-0.999998955493037,-0.999992862762932
"HMDB0000573",2.0641406293991e-05,-0.999989411096261
"HMDB0000574",0.00862753954747654,-0.984766212574889
"HMDB0000577",7.17829985538979e-09,1.99140125150678e-09
"HMDB0000586",-0.999999997074759,-0.999999997232268
"HMDB0000588",2.55175970223965e-09,-0.999999990405711
"HMDB0000595",0.00615116205407774,-0.955633851385507
"HMDB0000608",9.99050640086708e-09,6.96192083274445e-06
"HMDB0000619",7.31862520498598e-08,1.9222710608142e-08
"HMDB0000620",-0.999988314765871,-0.999999722403651
"HMDB0000621",-0.99999999168947,-0.999999989836627
"HMDB0000622",7.6466555572981e-06,4.96601858606925e-08
"HMDB0000623",-0.999970541178308,6.79009261169601e-08
"HMDB0000625",0.0332138477789551,-0.999999950713931
"HMDB0000630",2.36525827755234e-08,-0.999999998746094
"HMDB0000631",-0.995491716097984,0.048676652662016
"HMDB0000637",3.35076814107345e-08,1.415418782721e-08
"HMDB0000638",6.1702371862543e-06,-0.999994239646061
"HMDB0000641",-0.994180604110787,0.00572692753473659
"HMDB0000643",-0.999999304627493,7.73236097688191e-08
"HMDB0000646",3.0469083109248e-07,-0.999999996343144
"HMDB0000660",-0.999999996903539,9.77344490537605e-09
"HMDB0000661",8.96530571477254e-13,-0.999999999978271
"HMDB0000666",-0.999999801716433,-0.999999950053864
"HMDB0000669",5.42544570600643e-09,2.72816213069358e-09
"HMDB0000673",0.0426358041727609,-0.999603522807076
"HMDB0000676",-0.984509267456726,0.167724353469875
