"","Basal III cells","Fibroblasts","Macrophages"
"HMDB0001201",-0.999997207924779,-0.999997627150265,-0.999997163826677
"HMDB0001218",-0.999999997769856,6.42381798091723e-10,2.07288473882046e-09
"HMDB0001220",8.40334185032779e-06,3.87722041798777e-07,1.91022698016386e-05
"HMDB0001227",-0.99999999723663,0.00187319527565549,-0.990077981508472
"HMDB0001232",-0.999999135246223,2.03172249444562e-06,-0.999998235512715
"HMDB0001248",-0.999656121264127,-0.999767730601382,2.08893488682224e-07
"HMDB0001251",-0.999999900152338,1.31999675796403e-07,1.98932615353337e-07
"HMDB0001256",-0.999999231749037,-0.999989727842414,-0.999999597109481
"HMDB0001257",5.79709688074282e-09,3.29930353830704e-09,1.23713315768428e-08
"HMDB0001259",-0.999995175819952,2.07157145322623e-05,-0.999995585629172
"HMDB0001261",1.44206529472153e-06,7.44462436161975e-07,2.3684919629188e-08
"HMDB0001262",5.62611022791401e-11,2.39023080529493e-10,1.15536183266706e-10
"HMDB0001264",-0.973922948512933,0.0653604859674217,0.0167404457394558
"HMDB0001273",1.19160740837329e-06,-0.999997207209396,3.7064299097701e-06
"HMDB0001274",2.43716927741465e-08,-0.999914057186187,0.000273355855851164
"HMDB0001296",6.91980212436333e-09,2.62489286872031e-09,2.11384644515882e-09
